circuit,tier,n_qubits,depth,n_gates,actual_ms,predicted_ms,diff_ms,rel_err_pct
low_q02_realamp_reps3_s0,low,2,7,11,0.9895219999999998,0.6613776242772571,-0.3281443757227427,33.16190804141604
low_q03_su2_reps3_s1,low,3,14,30,0.7278563333333333,0.7499191205368414,0.022062787203508072,3.031200827701374
low_q04_twolocal_reps4_s2,low,4,27,64,0.6866603333333334,0.7085038259876799,0.021843492654346486,3.181120503222898
low_q04_realamp_reps5_s3,low,4,17,39,0.57888,0.7687062588210851,0.18982625882108517,32.79198776746358
low_q05_su2_reps4_s4,low,5,20,66,0.9422273333333334,0.9535234073809665,0.011296074047633109,1.1988692799297096
low_q05_twolocal_reps5_s5,low,5,39,110,1.0644103333333335,1.1373973191944258,0.07298698586109231,6.857034695037904
low_q06_realamp_reps4_s6,low,6,16,50,0.9075456666666667,0.9633207293583924,0.05577506269172572,6.145703156782929
low_q06_su2_reps5_s7,low,6,25,97,0.9867573333333334,1.2144861428304332,0.22772880949709984,23.07850185462903
low_q06_twolocal_reps6_s8,low,6,53,174,1.0748433333333334,1.3404442367708327,0.2656009034374993,24.710662026353173
low_q06_realamp_reps8_s9,low,6,28,94,1.0171113333333335,1.1215633794370892,0.10445204610375569,10.269480111992282
med_q08_realamp_reps3_s10,med,8,15,53,1.2959896666666666,1.7073501197764882,0.4113604531098216,31.74102877965955
med_q09_su2_reps3_s11,med,9,20,96,2.394353333333333,2.224969215028595,-0.16938411830473799,7.074315888952494
med_q10_twolocal_reps3_s12,med,10,45,215,2.8025803333333332,2.983023470406434,0.18044313707310078,6.4384644008418785
med_q10_realamp_reps4_s13,med,10,20,86,2.1285393333333333,2.3586397118160307,0.23010037848269738,10.810247894810828
med_q11_su2_reps4_s14,med,11,26,150,3.173282999999999,3.4139578420546317,0.24067484205463252,7.584411539942961
med_q12_twolocal_reps4_s15,med,12,67,384,7.245121999999999,7.792791933118378,0.547669933118379,7.559154050281277
med_q12_realamp_reps5_s16,med,12,25,127,3.8530763333333335,3.6834702967142543,-0.16960603661907925,4.401834325144282
med_q13_su2_reps4_s17,med,13,28,178,8.996882,7.650962278514884,-1.3459197214851155,14.959846327540538
med_q14_twolocal_reps5_s18,med,14,93,623,34.446143000000006,67.50027302846215,33.05413002846214,95.9588712976259
med_q14_realamp_reps6_s19,med,14,30,176,12.628456666666668,12.607996125240376,-0.020460541426292167,0.16201933431926474
high_q15_realamp_reps3_s20,high,15,22,102,3.641694666666667,3.379313995326892,-0.26238067133977516,7.204905829536054
high_q16_su2_reps3_s21,high,16,27,173,5.572729333333334,5.391012929856018,-0.1817164034773162,3.260815169814851
high_q17_twolocal_reps3_s22,high,17,73,544,47.66856466666666,75.2527301276356,27.58416546096894,57.86657444754139
high_q18_realamp_reps4_s23,high,18,28,158,17.603157,16.677302632328125,-0.9258543676718745,5.259592740476126
high_q19_su2_reps4_s24,high,19,34,262,35.999459666666674,34.73150297658433,-1.2679566900823431,3.522154781819885
high_q20_twolocal_reps4_s25,high,20,107,960,1010.2013563333334,1175.5343311870743,165.3329748537409,16.366338633104156
high_q21_realamp_reps3_s26,high,21,28,144,111.33020166666667,169.10214870016583,57.77194703349916,51.892430058127474
high_q22_su2_reps3_s27,high,22,33,239,223.856724,51.74306415046264,-172.11365984953738,76.88563326311365
high_q24_twolocal_reps3_s28,high,24,101,1020,10934.487334333333,7551.2294858654595,-3383.2578484678734,30.94116573572415
high_q25_realamp_reps3_s29,high,25,32,172,2039.366795,3411.147533223221,1371.7807382232213,67.26503253786449
