circuit,tier,actual_ms,predicted_ms,diff_ms,rel_err_pct
high_q15_realamp_reps3_s20,HIGH,7.165538,3.3671651139790977,-3.798372886020902,53.00890018262262
high_q16_su2_reps3_s21,HIGH,9.086659333333333,5.723910212038183,-3.362749121295151,37.00754037209579
high_q17_twolocal_reps3_s22,HIGH,72.62480833333333,79.186234152635,6.561425819301661,9.034689343587656
high_q18_realamp_reps4_s23,HIGH,22.695348333333335,16.647515875975678,-6.047832457357657,26.64789439890807
high_q19_su2_reps4_s24,HIGH,39.592546,33.35311031846022,-6.239435681539781,15.759117086140462
high_q20_twolocal_reps4_s25,HIGH,684.1256543333333,1251.2853968845038,567.1597425511706,82.90286133236349
high_q21_realamp_reps3_s100,HIGH,113.75221833333333,112.93541215383384,-0.8168061794994941,0.7180573631586257
high_q21_realamp_reps3_s26,HIGH,117.39121666666668,112.93541215383384,-4.455804512832842,3.7956881607942945
high_q22_su2_reps3_s101,HIGH,235.85167333333334,219.13161719679655,-16.720056136536783,7.089225147408194
high_q22_su2_reps3_s27,HIGH,246.17452466666668,219.13161719679655,-27.04290746987013,10.98525832698435
high_q23_twolocal_reps2_s102,HIGH,3393.4773600000003,3225.4538697626313,-168.02349023736906,4.951366177299739
high_q24_realamp_reps3_s103,HIGH,993.6709940000001,970.7904106075397,-22.88058339246038,2.3026317091488004
high_q24_twolocal_reps3_s28,HIGH,10871.136988333334,10462.28254512804,-408.85444320529314,3.7609170378780346
high_q25_realamp_reps3_s29,HIGH,2031.5692393333334,2005.0422263861662,-26.527012947167123,1.3057400374830812
high_q25_su2_reps3_s104,HIGH,2048.1664856666666,1979.2905708501642,-68.87591481650247,3.362808409301766
high_q26_realamp_reps2_s105,HIGH,2886.438242,2827.5698272907175,-58.86841470928266,2.0394829119396283
high_q27_su2_reps2_s106,HIGH,5939.332636333333,5944.152004372062,4.819368038729408,0.08114325857500011
high_q28_realamp_reps2_s107,HIGH,12341.091229666667,12161.941414873552,-179.14981479311427,1.4516529491529548
high_q29_su2_reps2_s108,HIGH,25713.241652333334,25586.294745351068,-126.94690698226623,0.49370246155154074
high_q30_realamp_reps1_s109,HIGH,27741.43492766667,27454.897964875192,-286.536962791477,1.0328844327576987
low_q02_realamp_reps3_s0,LOW,0.662585,0.6632738153524045,0.0006888153524045038,0.10395879054016391
low_q03_su2_reps3_s1,LOW,0.8183623333333333,0.7625910384228322,-0.055771294910501146,6.81498801105861
low_q04_realamp_reps5_s3,LOW,0.7650316666666667,0.8236878665181826,0.05865619985151593,7.6671597267889275
low_q04_twolocal_reps4_s2,LOW,0.8529633333333333,0.8514764921891771,-0.0014868411441562035,0.1743147783588066
low_q05_su2_reps4_s4,LOW,0.9611199999999999,1.0407952495484485,0.07967524954844862,8.289833687797445
low_q05_twolocal_reps5_s5,LOW,1.0386893333333331,1.262100028364566,0.2234106950312329,21.508904331650402
low_q06_realamp_reps4_s6,LOW,0.9918830000000001,1.0135641069856265,0.02168110698562642,2.185853269331218
low_q06_realamp_reps8_s9,LOW,1.0610733333333333,1.3486590378622663,0.28758570452893295,27.103282635365733
low_q06_su2_reps5_s7,LOW,1.0197303333333334,1.3104116184363614,0.29068128510302804,28.505701514667344
low_q06_twolocal_reps6_s8,LOW,1.1949873333333334,1.4545993342893735,0.2596120009560401,21.72508391450021
med_q08_realamp_reps3_s10,MED,1.3273053333333331,1.4565455091314659,0.12924017579813274,9.73703431627355
med_q09_su2_reps3_s11,MED,2.0914096666666664,2.0216771132175397,-0.06973255344912666,3.3342369291490206
med_q10_realamp_reps4_s13,MED,2.1550423333333333,2.448401193181181,0.2933588598478476,13.612672720933475
med_q10_twolocal_reps3_s12,MED,2.849031,2.6262300402889496,-0.22280095971105052,7.820236413827378
med_q11_su2_reps4_s14,MED,2.9334636666666665,3.340948882441283,0.4074852157746167,13.890924247367845
med_q12_realamp_reps5_s16,MED,3.913179,3.5151874653596193,-0.3979915346403806,10.170542534093382
med_q12_twolocal_reps4_s15,MED,7.220577666666668,9.047835155555438,1.8272574888887698,25.306250735296153
med_q13_su2_reps4_s17,MED,7.009963666666667,7.756520314492693,0.7465566478260266,10.649936052669648
med_q14_realamp_reps6_s19,MED,13.384578666666668,13.134945565429517,-0.24963310123715132,1.865080010751325
med_q14_twolocal_reps5_s18,MED,34.24085133333333,68.39880069717107,34.15794936383774,99.75788578155283
